Order Date,Are you a student?,Did a UJC Ambassador Invite you to the Summit?,Did a UJC Advisor Invite you to the Summit?,How did you hear about that hear about the Summit?
2025-02-25 19:31:10-05:00,No,No,Desiree Perez,
2025-02-25 19:32:35-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:33:10-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:35:46-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:35:44-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:35:57-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:36:54-05:00,,,,
2025-02-25 19:37:29-05:00,No,No,Topeka K. Sam,
2025-02-25 19:39:29-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:40:11-05:00,,,,
2025-02-25 19:40:15-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:41:12-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:41:31-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:40:55-05:00,No,No,Tamika Mallory,Other (Please describe in next question)
2025-02-25 19:41:41-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:42:08-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 19:41:14-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:42:44-05:00,No,No,No,LinkedIn
2025-02-25 19:42:47-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:43:39-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:43:57-05:00,Yes,No,No,
2025-02-25 19:47:04-05:00,Yes,Breqlyne J.,,
2025-02-25 19:47:17-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:48:55-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:50:15-05:00,No,Amirah A.,,
2025-02-25 19:51:43-05:00,No,No,No,Facebook
2025-02-25 19:52:27-05:00,,,,
2025-02-25 19:53:26-05:00,No,No,No,LinkedIn
2025-02-25 19:57:15-05:00,,,,
2025-02-25 19:59:18-05:00,No,No,No,
2025-02-25 19:59:44-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 20:04:59-05:00,No,No,No,
2025-02-25 20:05:25-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 20:09:21-05:00,No,No,Marcia L. Dyson,Other (Please describe in next question)
2025-02-25 20:09:17-05:00,Yes,No,No,
2025-02-25 20:11:19-05:00,,,,
2025-02-25 20:12:06-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 20:15:34-05:00,No,No,No,
2025-02-25 20:22:12-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 20:22:42-05:00,,,,
2025-02-25 20:25:11-05:00,No,No,No,
2025-02-25 20:25:43-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 20:26:58-05:00,Yes,No,No,LinkedIn
2025-02-25 20:26:44-05:00,,,,
2025-02-25 20:27:34-05:00,,,,
2025-02-25 20:29:09-05:00,No,No,No,
2025-02-25 20:31:16-05:00,,,,
2025-02-25 20:34:08-05:00,No,No,No,
2025-02-25 20:34:37-05:00,,,,
2025-02-25 20:36:44-05:00,No,No,No,
2025-02-25 20:38:57-05:00,,,,
2025-02-25 20:39:28-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 20:44:27-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 20:52:02-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 20:59:32-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 21:02:15-05:00,No,No,No,
2025-02-25 21:07:00-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 21:09:15-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 21:09:49-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 21:10:17-05:00,,,,
2025-02-25 21:13:14-05:00,,,,
2025-02-25 21:13:24-05:00,No,No,No,LinkedIn
2025-02-25 21:13:57-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 21:20:09-05:00,Yes,No,No,
2025-02-25 21:21:04-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 21:23:06-05:00,,,,
2025-02-25 21:32:52-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 21:34:29-05:00,No,No,No,
2025-02-25 21:41:28-05:00,No,No,Michael Eric Dyson,LinkedIn
2025-02-25 21:44:44-05:00,No,No,No,
2025-02-25 21:50:58-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 22:01:47-05:00,No,Troy S.,,
2025-02-25 22:17:45-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 22:19:32-05:00,No,No,Jonathan S. Abady,
2025-02-25 22:24:18-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 22:41:21-05:00,,,,
2025-02-25 22:44:08-05:00,No,No,No,
2025-02-25 22:46:12-05:00,No,No,No,Facebook
2025-02-25 22:46:08-05:00,No,No,No,
2025-02-25 22:53:06-05:00,No,No,Marcy Croft,
2025-02-25 22:59:51-05:00,Yes,No,No,
2025-02-25 23:00:13-05:00,No,No,No,
2025-02-25 23:03:15-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 23:13:46-05:00,No,No,Charlamagne Tha God,LinkedIn
2025-02-25 23:30:13-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 23:40:35-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 23:52:19-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 23:59:49-05:00,No,No,No,
2025-02-26 00:01:25-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 00:10:32-05:00,,,,
2025-02-26 00:29:21-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 00:39:22-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-26 00:50:15-05:00,,,,
2025-02-26 01:09:32-05:00,No,No,Nicole Paultre Bell,Other (Please describe in next question)
2025-02-26 01:21:39-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 01:40:42-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-26 03:19:12-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 04:51:05-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 05:58:36-05:00,No,No,Tamika Mallory,Other (Please describe in next question)
2025-02-26 06:39:19-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 06:44:40-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 06:48:14-05:00,No,Troy S.,,
2025-02-26 06:50:12-05:00,No,Amirah A.,,
2025-02-26 06:52:18-05:00,,,,
2025-02-26 06:55:00-05:00,No,No,No,
2025-02-26 07:00:50-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 07:09:26-05:00,,,,
2025-02-26 07:39:52-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 07:47:16-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 08:02:48-05:00,Yes,Britney T.,,
2025-02-26 08:03:32-05:00,,,,
2025-02-26 08:09:58-05:00,No,No,No,
2025-02-26 08:33:20-05:00,No,No,No,
2025-02-26 08:35:02-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 08:35:04-05:00,No,No,No,
2025-02-26 08:35:37-05:00,Yes,No,No,
2025-02-26 08:39:23-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 08:39:22-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 08:53:14-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 08:57:26-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 09:05:17-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 09:11:14-05:00,No,No,No,
2025-02-26 09:12:21-05:00,No,Jackson W.,,
2025-02-26 09:13:45-05:00,Yes,No,No,Facebook
2025-02-26 09:16:11-05:00,No,Jackson W.,,
2025-02-26 09:17:02-05:00,No,No,Dania Diaz,
2025-02-26 09:24:55-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 09:25:59-05:00,No,No,No,Threads
2025-02-26 09:31:18-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 09:30:23-05:00,,,,
2025-02-26 09:55:33-05:00,No,Jayla N.,,
2025-02-26 09:56:27-05:00,No,No,No,LinkedIn
2025-02-26 09:59:19-05:00,,,,
2025-02-26 10:03:54-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 10:06:41-05:00,No,No,No,
2025-02-26 10:10:05-05:00,Yes,No,No,Facebook
2025-02-26 10:14:01-05:00,No,No,No,
2025-02-26 10:17:17-05:00,,,,
2025-02-26 10:19:42-05:00,No,No,No,
2025-02-26 10:25:54-05:00,No,Breqlyne J.,,
2025-02-26 10:28:11-05:00,No,No,Desiree Perez,Other (Please describe in next question)
2025-02-26 10:34:10-05:00,,,,
2025-02-26 10:34:38-05:00,No,No,No,LinkedIn
2025-02-26 10:34:24-05:00,,,,
2025-02-26 10:37:41-05:00,,,,
2025-02-26 10:47:20-05:00,No,No,No,
2025-02-26 10:48:15-05:00,No,No,No,
2025-02-26 10:49:26-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 10:52:29-05:00,No,No,No,
2025-02-26 11:01:54-05:00,No,No,No,Facebook
2025-02-26 11:03:37-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-26 11:08:31-05:00,No,Breqlyne J.,,
2025-02-26 11:10:28-05:00,No,Breqlyne J.,,
2025-02-26 11:25:50-05:00,No,No,No,
2025-02-26 11:53:04-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-26 12:06:53-05:00,No,No,No,
2025-02-26 12:20:02-05:00,,,,
2025-02-26 12:22:07-05:00,,,,
2025-02-26 12:31:25-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 12:47:06-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 12:57:45-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 13:00:52-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 13:26:44-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-26 13:45:32-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-26 13:59:14-05:00,Yes,No,No,
2025-02-26 14:08:50-05:00,No,No,Tamika Mallory,Facebook
2025-02-26 14:20:15-05:00,No,Jayla N.,,
2025-02-26 15:00:48-05:00,No,No,No,
2025-02-26 15:09:22-05:00,No,No,No,
2025-02-26 15:10:40-05:00,No,No,No,
2025-02-26 15:25:30-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 15:46:19-05:00,,,,
2025-02-26 15:55:28-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 16:05:16-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 16:07:47-05:00,No,No,No,Facebook
2025-02-26 16:17:00-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 16:20:57-05:00,Yes,Jayla N.,,
2025-02-26 16:25:19-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 16:33:18-05:00,No,No,No,
2025-02-26 16:56:28-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 17:06:51-05:00,,,,
2025-02-26 17:26:44-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 17:55:42-05:00,No,No,No,
2025-02-26 18:42:42-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 18:50:58-05:00,,,,
2025-02-26 19:29:30-05:00,No,No,No,
2025-02-26 19:47:49-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 19:50:05-05:00,,,,
2025-02-26 19:51:36-05:00,,,,
2025-02-26 20:09:23-05:00,Yes | No,No,No,
2025-02-26 20:11:20-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 20:41:53-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 20:58:27-05:00,No,No,No,Facebook
2025-02-26 21:50:58-05:00,No,No,No,LinkedIn
2025-02-26 22:36:34-05:00,No,No,No,Other (Please describe in next question)
2025-02-26 23:16:14-05:00,No,No,Benjamin Crump,Other (Please describe in next question)
2025-02-27 00:18:16-05:00,,,,
2025-02-27 00:30:50-05:00,No,No,No,Facebook
2025-02-27 00:34:07-05:00,,,,
2025-02-27 00:45:28-05:00,No,No,No,Facebook
2025-02-27 01:00:51-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 01:13:45-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 01:41:12-05:00,No,No,No,
2025-02-27 01:43:24-05:00,No,No,No,
2025-02-27 03:01:42-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 04:24:11-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 06:43:49-05:00,No,No,No,
2025-02-27 06:48:51-05:00,No,No,No,LinkedIn
2025-02-27 06:49:58-05:00,No,No,No,
2025-02-27 07:23:31-05:00,No,No,No,
2025-02-27 07:41:52-05:00,No,No,No,Threads
2025-02-27 08:20:45-05:00,No,Amirah A.,,
2025-02-27 08:48:08-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 09:55:17-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 10:02:09-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 10:12:51-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 10:24:08-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 10:35:57-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 10:42:14-05:00,No,No,No,
2025-02-27 10:48:00-05:00,No,No,No,
2025-02-27 11:55:56-05:00,No,Jackson W.,,
2025-02-27 11:58:37-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 12:06:05-05:00,No,No,No,
2025-02-27 12:24:27-05:00,,,,
2025-02-27 12:26:24-05:00,No,Troy S.,,
2025-02-27 12:31:31-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 12:49:51-05:00,,,,
2025-02-27 12:58:04-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 13:18:39-05:00,No,Amirah A.,,
2025-02-27 15:43:54-05:00,No,No,Dania Diaz,Other (Please describe in next question)
2025-02-27 15:47:47-05:00,No,Britney T.,,
2025-02-27 15:54:12-05:00,No,No,Van Jones,Other (Please describe in next question)
2025-02-27 16:47:59-05:00,No,Jayla N.,,
2025-02-27 17:44:33-05:00,No,No,No,Facebook
2025-02-27 18:22:41-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-27 18:42:05-05:00,,,,
2025-02-27 20:23:28-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 20:22:57-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-27 20:33:14-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 20:37:38-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 20:41:29-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 21:25:10-05:00,No,No,No,
2025-02-27 22:22:07-05:00,No,No,No,
2025-02-27 22:32:21-05:00,No,No,No,Other (Please describe in next question)
2025-02-27 23:27:09-05:00,Yes,No,No,
2025-02-28 00:05:32-05:00,No,No,No,Other (Please describe in next question)
2025-02-28 01:45:44-05:00,No,No,No,
2025-02-28 02:07:58-05:00,No,No,No,Other (Please describe in next question)
2025-02-28 02:33:23-05:00,,,,
2025-02-28 04:02:33-05:00,No,No,No,Other (Please describe in next question)
2025-02-28 05:39:54-05:00,,,,
2025-02-28 05:41:25-05:00,No,No,Angela Rye,Other (Please describe in next question)
2025-02-28 09:49:49-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-28 09:50:31-05:00,No,No,Lisa Wayne,Facebook
2025-02-28 09:58:17-05:00,No,No,No,Other (Please describe in next question)
2025-02-28 10:10:56-05:00,Yes,No,No,LinkedIn
2025-02-28 10:47:01-05:00,,,,
2025-02-28 11:42:46-05:00,No,No,No,Other (Please describe in next question)
2025-02-28 12:10:07-05:00,No,No,No,Other (Please describe in next question)
2025-02-28 12:39:24-05:00,No,Troy S.,,
2025-02-28 15:23:46-05:00,No,No,No,Other (Please describe in next question)
2025-02-28 18:28:43-05:00,,,,
2025-02-28 18:49:23-05:00,,,,
2025-03-01 07:11:52-05:00,No,Jackson W.,,
2025-03-01 08:23:03-05:00,No,No,No,
2025-03-01 10:01:57-05:00,,,,
2025-03-01 11:12:28-05:00,No,No,No,Facebook
2025-03-01 11:13:35-05:00,No,No,No,Facebook
2025-03-01 13:38:19-05:00,No,No,No,
2025-03-01 14:08:17-05:00,,,,
2025-03-01 18:24:00-05:00,No,No,No,LinkedIn
2025-03-01 22:17:54-05:00,No,No,No,Other (Please describe in next question)
2025-03-01 23:50:25-05:00,No,No,No,Other (Please describe in next question)
2025-03-02 05:31:16-05:00,Yes,No,No,LinkedIn
2025-03-02 07:11:59-05:00,No,No,Angela Rye,
